,Feature_1,Feature_2,Feature_3,Feature_4
180,4.65,3.13,1.42,0.12
181,5.04,3.85,1.52,0.3
182,5.12,3.41,1.34,0.22
183,4.98,3.76,1.54,0.23
184,5.15,3.64,1.55,0.32
185,4.33,2.92,1.17,0.19
186,5.16,3.52,1.36,0.1
187,5.52,4.31,1.44,0.08999999999999998
188,5.19,3.28,1.41,0.26
189,4.68,3.26,1.59,0.3
190,4.52,3.34,1.52,0.25
191,5.5,4.17,1.42,0.25
192,5.03,3.83,1.79,0.35
193,4.28,2.86,1.29,0.23
194,4.51,3.45,1.34,0.35
195,5.28,3.8,1.56,0.28
196,4.6,3.09,1.51,0.1
197,5.57,4.22,1.46,0.32
198,5.6,4.34,1.55,0.45
199,5.16,3.75,2.0,0.34
200,5.27,2.78,3.88,1.47
201,6.43,3.32,4.42,1.44
202,5.53,3.01,4.46,1.53
203,5.81,2.58,3.99,1.29
204,4.98,1.89,3.38,1.0
205,5.92,2.79,4.5,1.57
206,5.69,3.03,4.6,1.49
207,5.41,2.57,4.04,1.27
208,5.59,2.77,4.08,1.39
209,5.76,2.63,4.01,1.1
210,6.27,2.23,4.42,1.23
211,5.95,2.24,3.88,1.07
212,6.19,2.81,4.37,1.41
213,6.64,2.98,4.98,1.76
214,6.09,2.86,4.58,1.1
215,5.52,2.87,3.72,1.25
216,5.51,2.6,4.02,0.9900000000000002
217,6.46,3.2,4.45,1.44
218,5.59,2.97,4.12,1.4
219,6.03,3.28,4.45,1.55
220,6.42,2.32,4.5,1.38
221,5.74,2.69,3.38,1.12
222,4.98,2.53,3.05,1.06
223,6.79,3.11,4.67,1.43
224,5.39,3.06,4.46,1.57
225,6.48,2.76,4.52,1.46
226,5.64,2.59,4.31,1.31
227,4.89,2.51,3.41,0.96
228,6.22,3.2,4.71,1.69
229,5.54,2.94,4.14,1.4
230,6.67,3.01,4.48,1.37
231,6.31,2.18,4.36,1.33
232,6.31,2.52,4.99,1.59
233,6.0,2.92,4.77,1.17
234,5.78,2.64,3.94,1.29
235,5.48,2.96,4.4,1.59
236,6.07,2.82,4.72,1.13
237,4.92,2.38,3.18,0.88
238,5.88,2.53,4.1,1.3
239,5.48,3.01,4.2,1.2
240,6.76,3.05,4.36,1.28
241,4.97,2.05,3.41,0.95
242,5.78,2.67,4.1,1.31
243,6.17,2.72,3.97,1.37
244,6.42,2.58,4.79,1.47
245,5.05,2.3,3.26,0.89
246,5.44,2.37,3.92,1.05
247,5.93,2.31,3.89,1.1
248,5.56,3.01,4.19,1.34
249,5.79,2.66,4.11,1.2400000000000002
250,5.08,2.25,3.39,0.92
251,5.93,3.17,4.77,1.87
252,6.24,2.43,4.95,1.58
253,6.52,2.97,4.28,1.46
254,5.66,2.9,4.31,1.19
255,5.49,3.1,3.98,1.33
256,6.12,3.03,4.61,1.38
257,5.59,3.08,4.22,1.16
258,6.03,3.52,4.51,1.5
259,5.55,2.51,4.07,1.23
260,5.59,2.68,4.3,1.33
261,5.92,2.77,4.99,1.63
262,5.53,2.64,4.16,1.25
263,5.33,3.0,4.45,1.44
264,5.72,2.64,4.18,1.36
265,5.81,3.32,4.91,1.74
266,6.28,2.62,4.93,1.53
267,6.49,3.0,4.37,1.22
268,6.61,3.18,4.76,1.42
269,5.7,3.07,4.16,1.37
270,6.0,3.47,4.56,1.49
271,6.8,3.15,4.36,1.48
272,6.37,2.37,4.42,1.36
273,6.45,2.97,4.41,1.2400000000000002
274,5.09,2.43,3.09,1.07
275,6.06,2.8,4.49,1.48
276,5.53,2.23,4.11,1.2400000000000002
277,5.12,2.51,3.09,1.01
278,6.83,3.12,4.82,1.42
279,6.92,3.01,4.86,1.54
280,6.11,2.78,4.78,1.5
281,5.92,2.11,4.08,0.95
282,5.77,2.57,4.01,1.3
283,5.06,2.12,3.54,0.98
284,6.64,3.07,4.3,1.52
285,6.72,3.2,4.47,1.43
286,6.28,3.23,4.79,1.56
287,6.71,3.1,4.5,1.28
288,6.98,3.12,4.93,1.6
289,5.53,2.42,3.82,0.96
290,5.65,2.74,4.25,1.36
291,6.63,3.07,4.31,1.38
292,6.85,3.14,4.93,1.54
293,6.41,3.15,4.59,1.43
294,5.32,3.08,4.46,1.62
295,5.76,2.69,3.79,1.09
296,6.48,2.87,4.5,1.2
297,5.54,2.77,4.25,1.39
298,5.81,2.58,3.8,1.2400000000000002
299,5.07,2.21,3.28,1.08
300,6.05,2.81,4.76,1.15
301,5.89,3.2,4.89,1.69
302,6.48,2.94,4.49,1.25
303,5.91,2.95,4.51,1.61
304,5.56,2.44,3.89,1.35
305,5.77,2.8,4.19,1.18
306,5.43,2.49,4.11,1.35
307,6.23,2.14,4.51,1.46
308,6.49,3.09,4.56,1.56
309,6.48,2.76,4.71,1.4
310,5.5,3.09,4.57,1.6
311,5.68,3.04,4.16,1.09
312,6.33,2.44,4.91,1.48
313,6.61,3.12,5.12,1.61
314,5.73,2.98,4.26,1.19
315,5.65,2.95,4.62,1.61
316,6.3,2.96,4.31,1.27
317,5.49,3.02,4.18,1.32
318,4.95,2.4,3.23,0.9
319,6.68,2.7,4.9,1.32
320,5.38,2.39,3.81,1.09
321,6.57,2.89,4.3,1.39
322,5.05,2.58,2.92,1.04
323,5.5,3.1,4.21,1.33
324,5.74,2.74,3.92,1.28
325,6.28,3.01,4.34,1.22
326,6.6,3.03,4.47,1.42
327,6.31,3.19,4.51,1.42
328,4.95,1.94,3.61,1.07
329,5.82,2.49,3.53,0.9900000000000002
330,6.28,2.11,4.59,1.47
331,5.48,2.36,3.89,1.27
332,5.93,3.11,4.86,1.83
333,6.21,2.21,4.59,1.59
334,5.73,2.68,4.19,0.98
335,5.8,2.9,4.09,1.19
336,5.55,2.88,4.17,1.34
337,5.91,3.26,4.76,1.75
338,5.3,3.01,4.49,1.58
339,6.8,3.22,4.73,1.43
340,6.66,3.09,4.8,1.39
341,5.31,2.89,4.44,1.38
342,6.85,2.92,4.88,1.47
343,6.49,2.84,4.51,1.41
344,5.71,2.53,3.39,0.88
345,5.61,2.35,4.03,1.28
346,5.72,2.58,3.8,1.27
347,5.48,2.47,3.74,1.04
348,5.61,2.59,3.92,0.98
349,5.18,2.38,3.09,1.16
350,6.52,2.92,4.52,1.42
351,6.06,2.78,5.18,1.52
352,5.56,3.12,4.03,1.41
353,6.4,2.35,4.37,1.2400000000000002
354,5.44,2.34,3.7,1.05
355,6.2,2.88,4.36,1.28
356,6.02,3.11,4.79,1.79
357,5.51,2.64,4.24,1.3
358,5.56,2.63,4.49,1.31
359,6.22,2.25,4.52,1.58
360,4.99,1.9,3.46,0.95
361,5.6,2.26,4.03,1.3
362,7.01,3.05,4.86,1.5
363,6.11,3.44,4.47,1.49
364,5.02,2.41,3.26,0.9
365,5.51,2.38,3.8,1.15
366,6.36,3.24,4.4,1.57
367,6.95,3.15,4.86,1.53
368,6.47,2.81,4.27,1.21
369,5.45,2.37,3.78,1.16
370,5.48,2.91,3.69,1.3
371,5.85,2.65,4.1,0.93
372,5.98,3.19,4.7,1.92
373,5.89,2.75,3.85,1.31
374,7.12,3.21,4.63,1.28
375,6.93,3.03,4.95,1.38
376,6.2,2.19,4.43,1.22
377,6.4,2.85,4.6,1.48
378,5.4,2.36,3.59,0.92
379,5.71,2.85,3.72,1.37
380,6.15,2.78,3.92,1.21
381,6.39,2.25,4.52,1.42
382,5.73,2.62,3.98,1.29
383,4.8,2.43,3.23,0.97
384,6.9,2.76,4.92,1.36
385,6.47,2.86,4.25,1.33
386,5.75,2.67,3.89,1.1
387,6.4,3.32,4.74,1.54
388,6.08,2.99,4.26,1.21
389,6.32,2.91,4.25,1.22
390,5.91,2.72,4.12,1.11
391,5.99,3.01,4.65,1.39
392,6.04,2.69,5.22,1.59
393,5.73,2.65,4.21,0.98
394,4.96,2.27,3.23,0.94
395,5.66,2.87,4.2,1.27
396,5.39,2.33,3.6,1.12
397,6.4,3.36,4.78,1.58
398,5.68,2.94,3.51,1.22
399,6.41,3.31,4.49,1.46
400,5.81,2.68,5.16,1.91
401,6.9,3.1,5.51,2.11
402,6.24,3.37,5.67,2.45
403,6.2,2.94,5.52,1.92
404,6.2,3.38,5.36,2.34
405,7.16,3.21,5.95,1.87
406,6.88,3.3,5.67,2.35
407,5.6,2.4,5.12,2.06
408,5.91,2.31,5.04,1.57
409,6.46,3.04,5.58,1.86
410,6.82,3.13,5.07,2.26
411,7.639999999999999,2.9,6.76,2.05
412,6.43,3.14,5.39,2.38
413,6.43,3.21,5.17,2.0
414,6.26,2.68,4.99,1.59
415,6.92,3.08,5.59,2.42
416,6.26,2.44,4.89,2.01
417,6.45,3.31,4.98,1.99
418,6.22,3.32,5.69,2.36
419,6.37,3.23,5.32,2.33
420,6.9,3.31,5.9,2.18
421,5.91,2.93,5.22,1.83
422,7.58,2.79,6.75,1.99
423,6.79,3.42,5.7,2.38
424,6.64,2.55,5.78,1.8
425,5.63,2.46,4.93,2.02
426,5.99,3.02,4.69,1.83
427,6.96,3.2,5.75,2.37
428,6.52,3.04,5.29,2.12
429,6.28,2.71,5.62,1.98
430,7.67,2.6,6.78,2.18
431,6.96,3.22,5.58,2.36
432,6.56,3.02,5.53,1.77
433,6.79,3.07,5.4,2.05
434,6.09,3.06,4.88,1.81
435,7.42,2.9,6.37,1.81
436,6.41,2.91,5.2,2.02
437,7.92,3.8,6.41,1.88
438,6.38,3.4,5.57,2.42
439,5.58,2.81,5.01,1.89
440,5.92,2.97,4.71,1.84
441,6.54,3.12,5.87,2.13
442,5.86,3.01,5.1,1.89
443,6.32,2.9,5.13,1.58
444,6.42,2.72,5.67,2.19
445,5.91,2.1,5.0,1.54
446,6.47,3.1,5.71,2.22
447,7.09,3.32,6.07,1.88
448,4.92,2.59,4.49,1.58
449,6.22,2.91,4.86,1.72
450,6.34,2.88,5.58,2.04
451,6.8,2.93,5.23,2.39
452,6.19,2.71,5.14,1.61
453,4.88,2.6,4.55,1.76
454,6.08,2.93,4.82,1.77
455,6.36,2.41,4.99,1.93
456,5.77,2.71,5.22,1.84
457,7.219999999999998,3.6,6.12,2.55
458,6.41,2.86,5.71,2.29
459,5.99,2.09,4.99,1.58
460,7.12,3.65,6.15,2.53
461,7.73,3.05,6.01,2.31
462,6.59,2.47,5.79,1.88
463,6.68,3.29,5.71,2.56
464,5.71,2.46,5.12,1.99
465,6.36,3.15,5.33,2.28
466,6.81,3.1,5.65,2.36
467,7.21,3.31,6.0,1.81
468,6.32,2.56,4.95,1.86
469,6.33,2.74,4.91,1.76
470,5.89,2.71,5.11,2.29
471,6.49,2.95,5.57,1.87
472,5.84,3.02,5.08,1.79
473,6.28,2.62,4.89,1.79
474,7.58,2.69,6.99,2.25
475,6.35,2.41,4.98,1.95
476,6.37,2.69,5.0,1.83
477,6.95,2.99,5.16,2.26
478,5.91,3.0,4.83,1.69
479,6.9,3.05,5.34,2.01
480,6.33,2.82,5.49,2.01
481,6.32,2.74,4.82,1.9
482,7.61,3.84,6.63,2.08
483,7.34,2.94,6.39,1.75
484,6.15,2.77,4.69,1.92
485,6.39,2.69,5.31,1.81
486,6.8,3.18,5.69,2.28
487,6.31,2.87,5.56,2.15
488,6.0,2.09,5.02,1.5
489,5.68,2.41,5.03,1.92
490,6.48,2.7,5.21,1.82
491,6.62,2.97,5.12,1.99
492,6.38,2.6,5.39,1.8
493,6.3,3.23,5.23,2.26
494,7.75,3.86,6.58,2.21
495,6.82,3.16,5.76,2.31
496,6.72,3.01,5.18,2.36
497,5.91,2.69,5.21,2.5
498,6.78,3.09,5.49,2.13
499,6.13,2.71,4.69,1.92
500,4.93,2.56,4.43,1.7
501,7.17,3.21,6.02,1.88
502,6.32,3.47,5.5,2.35
503,7.62,2.69,6.83,2.32
504,6.89,2.93,5.57,2.01
505,5.74,2.78,5.18,1.98
506,5.85,2.98,5.02,1.92
507,6.1,2.74,4.91,1.91
508,7.62,2.99,6.61,1.98
509,7.71,3.05,6.04,2.2
510,6.24,2.72,4.84,1.71
511,6.01,2.5,5.56,1.42
512,7.84,3.77,6.29,2.1
513,6.68,3.37,5.68,2.53
514,6.38,2.92,5.55,1.74
515,6.13,3.31,5.34,2.33
516,5.63,2.88,4.79,2.09
517,6.92,2.92,5.47,2.16
518,6.87,2.94,5.6,2.17
519,6.91,3.17,5.47,2.04
520,6.48,3.08,5.04,2.07
521,5.9,2.8,5.2,1.78
522,6.3,3.12,5.48,1.81
523,6.36,2.58,5.25,1.82
524,6.75,3.29,5.75,2.15
525,7.7,2.69,6.96,2.21
526,6.16,2.68,5.52,1.51
527,6.51,2.72,5.28,1.82
528,7.33,2.98,6.2,1.8
529,5.69,2.87,5.02,2.32
530,6.79,3.01,5.29,2.09
531,6.89,3.16,5.49,2.1
532,7.58,3.82,6.64,2.15
533,7.16,3.23,5.89,1.86
534,6.76,3.35,5.78,2.42
535,6.84,3.29,5.98,2.25
536,5.97,2.9,5.15,1.85
537,6.21,3.39,5.56,2.48
538,6.98,2.93,5.78,2.22
539,7.11,3.02,5.86,1.6
540,7.21,3.07,5.88,1.52
541,6.19,2.79,5.17,1.43
542,6.07,2.51,5.64,1.45
543,7.24,2.82,6.37,1.86
544,6.23,2.79,5.02,1.85
545,6.58,2.93,5.32,2.02
546,6.08,2.14,4.92,1.62
547,7.11,2.89,6.0,2.12
548,6.03,2.95,5.01,1.91
549,7.59,2.9,6.75,1.95
550,6.16,3.37,5.32,2.42
551,6.61,3.22,5.57,2.31
552,7.21,2.97,6.41,1.75
553,6.15,2.89,4.95,1.89
554,6.7,3.12,5.49,2.05
555,5.89,2.73,5.2,1.97
556,7.59,3.07,6.59,2.0
557,7.28,3.66,6.2,2.57
558,5.76,2.7,5.18,2.38
559,5.87,2.66,4.99,1.87
560,6.59,3.08,5.77,2.2
561,6.37,2.65,4.86,1.83
562,5.99,2.25,4.94,1.41
563,7.88,3.84,6.38,2.06
564,7.23,3.29,6.11,1.78
565,7.17,2.92,5.88,2.13
566,6.59,3.19,5.13,1.97
567,7.69,2.98,6.01,2.26
568,6.28,2.98,5.44,1.89
569,6.39,3.11,5.77,2.19
570,4.97,2.54,4.43,1.66
571,7.23,2.95,6.19,1.92
572,6.19,2.84,5.64,1.83
573,5.82,3.04,5.08,1.79
574,6.33,3.33,5.88,2.6
575,5.92,2.58,5.16,1.95
576,7.11,2.98,5.93,2.17
577,7.11,3.08,5.86,1.66
578,6.62,2.58,5.84,1.68
579,6.59,3.06,5.29,2.32
580,7.65,2.65,6.81,2.21
581,6.43,3.16,5.09,1.94
582,6.2,3.48,5.52,2.23
583,5.8,2.77,5.03,1.79
584,6.44,2.75,5.54,2.17
585,7.73,2.54,6.97,2.32
586,5.93,2.91,4.89,1.69
587,6.73,3.03,5.64,2.47
588,6.45,3.04,5.46,1.71
589,6.21,3.52,5.47,2.22
590,5.74,2.92,5.02,2.49
591,6.1,3.39,5.31,2.41
592,6.3,3.31,5.99,2.56
593,6.29,2.7,5.2,1.82
594,5.8,2.72,5.1,1.84
595,6.42,2.8,5.19,1.55
596,5.75,2.51,5.03,1.9
597,6.81,3.39,5.81,2.07
598,6.82,3.12,5.82,2.21
599,6.13,3.48,5.33,2.38
